ID,Sunday,Saturday,Value of Purchase,Count,Weight,Weighted Spent,Adjusted Weighted Spent
122,Evening (4pm - 7pm),Evening (4pm - 7pm),500 - 1000 rupees,2,2,4,7.901293
123,Evening (4pm - 7pm),Evening (4pm - 7pm),500 - 1000 rupees,2,2,4,7.901293
124,,Daytime (11am - 3pm),More than 2000 rupees,1,4,4,7.901293
125,Morning (until 11am);Evening (4pm - 7pm),Morning (until 11am);Evening (4pm - 7pm),More than 2000 rupees,2,4,8,11.901293
126,Daytime (11am - 3pm),Morning (until 11am),1000 - 2000 rupees,2,3,6,9.901293
127,,Morning (until 11am),Less than 500 rupees,1,1,1,4.901293
128,Night (after 7pm),Night (after 7pm),500 - 1000 rupees,2,2,4,7.901293
129,Evening (4pm - 7pm),Morning (until 11am),Less than 500 rupees,2,1,2,5.901293
130,Evening (4pm - 7pm);Night (after 7pm),Evening (4pm - 7pm);Night (after 7pm),More than 2000 rupees,2,4,8,11.901293
131,Evening (4pm - 7pm);Night (after 7pm),Evening (4pm - 7pm);Night (after 7pm),More than 2000 rupees,2,4,8,11.901293
132,Evening (4pm - 7pm),,More than 2000 rupees,1,4,4,7.901293
133,Evening (4pm - 7pm),Evening (4pm - 7pm),More than 2000 rupees,2,4,8,11.901293
134,Evening (4pm - 7pm),Evening (4pm - 7pm),1000 - 2000 rupees,2,3,6,9.901293
135,Evening (4pm - 7pm),Evening (4pm - 7pm),1000 - 2000 rupees,2,3,6,9.901293
136,Evening (4pm - 7pm),Daytime (11am - 3pm);Evening (4pm - 7pm),500 - 1000 rupees,2,2,4,7.901293
137,Daytime (11am - 3pm),Daytime (11am - 3pm),Less than 500 rupees,2,1,2,5.901293
138,Daytime (11am - 3pm),Morning (until 11am),More than 2000 rupees,2,4,8,11.901293
139,Evening (4pm - 7pm),,More than 2000 rupees,1,4,4,7.901293
140,Daytime (11am - 3pm),,Less than 500 rupees,1,1,1,4.901293
141,Night (after 7pm),Morning (until 11am),More than 2000 rupees,2,4,8,11.901293
142,,Evening (4pm - 7pm),1000 - 2000 rupees,1,3,3,6.901293
143,Evening (4pm - 7pm),Night (after 7pm),1000 - 2000 rupees,2,3,6,9.901293
144,Morning (until 11am);Daytime (11am - 3pm),Morning (until 11am);Daytime (11am - 3pm),1000 - 2000 rupees,2,3,6,9.901293
145,Morning (until 11am),Evening (4pm - 7pm),More than 2000 rupees,2,4,8,11.901293
146,Morning (until 11am),,1000 - 2000 rupees,1,3,3,6.901293
147,,Evening (4pm - 7pm),500 - 1000 rupees,1,2,2,5.901293
148,Evening (4pm - 7pm),Evening (4pm - 7pm),More than 2000 rupees,2,4,8,11.901293
149,Evening (4pm - 7pm),Evening (4pm - 7pm),Less than 500 rupees,2,1,2,5.901293
150,Daytime (11am - 3pm),,1000 - 2000 rupees,1,3,3,6.901293
151,Daytime (11am - 3pm),,More than 2000 rupees,1,4,4,7.901293
152,Morning (until 11am);Daytime (11am - 3pm),Morning (until 11am);Daytime (11am - 3pm),1000 - 2000 rupees,2,3,6,9.901293
153,Morning (until 11am),,Less than 500 rupees,1,1,1,4.901293
154,Morning (until 11am),,500 - 1000 rupees,1,2,2,5.901293
155,Evening (4pm - 7pm),,More than 2000 rupees,1,4,4,7.901293
156,Daytime (11am - 3pm),Evening (4pm - 7pm),More than 2000 rupees,2,4,8,11.901293
157,Morning (until 11am);Evening (4pm - 7pm),Morning (until 11am);Evening (4pm - 7pm),500 - 1000 rupees,2,2,4,7.901293
158,Evening (4pm - 7pm),Evening (4pm - 7pm),500 - 1000 rupees,2,2,4,7.901293
159,Morning (until 11am),,Less than 500 rupees,1,1,1,4.901293
160,Night (after 7pm),Night (after 7pm),Less than 500 rupees,2,1,2,5.901293
