ID,Sunday,Saturday,Item Quantity
149,Evening (4pm - 7pm),Daytime (11am - 3pm);Evening (4pm - 7pm),1
150,Daytime (11am - 3pm),Daytime (11am - 3pm),1
151,Daytime (11am - 3pm),Morning (until 11am),0
152,Evening (4pm - 7pm),,1
153,Daytime (11am - 3pm),,1
154,Night (after 7pm),Morning (until 11am),0
156,,Evening (4pm - 7pm),1
157,Evening (4pm - 7pm),Night (after 7pm),0
158,Morning (until 11am);Daytime (11am - 3pm),Morning (until 11am);Daytime (11am - 3pm),1
159,Morning (until 11am),Evening (4pm - 7pm),1
160,Morning (until 11am),,1
161,,Evening (4pm - 7pm),1
162,Evening (4pm - 7pm),Evening (4pm - 7pm),0
163,Evening (4pm - 7pm),Evening (4pm - 7pm),1
164,Daytime (11am - 3pm),,1
165,Daytime (11am - 3pm),,0
166,Morning (until 11am);Daytime (11am - 3pm),Morning (until 11am);Daytime (11am - 3pm),1
167,Morning (until 11am),,1
168,Morning (until 11am),,1
169,Evening (4pm - 7pm),,0
170,Daytime (11am - 3pm),Evening (4pm - 7pm),1
171,Morning (until 11am);Evening (4pm - 7pm),Morning (until 11am);Evening (4pm - 7pm),1
173,Evening (4pm - 7pm),Evening (4pm - 7pm),1
174,Morning (until 11am),,1
175,Night (after 7pm),Night (after 7pm),1
