"Timestamp","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Sunday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Monday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Tuesday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Wednesday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Thursday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Friday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Saturday]","How far do you travel to purchase day-to-day goods? (Choose all that apply)","What type of stores do you most often visit to purchase day-to-day goods? (Choose all that apply)","What is the quantity of day-to-day goods you purchase during a single shopping visit? (Choose the most relevant option)","What is the value of day-to-day goods you purchase during a single shopping visit? (Choose the most relevant option)"
"2018/06/25 7:53:47 PM GMT+5:30","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets;Grocery stores","10 - 20 items","1000 - 2000 rupees"
"2018/06/25 8:01:19 PM GMT+5:30","","Morning (until 11am)","","","Morning (until 11am)","","Evening (4pm - 7pm)","Less than 1km","Grocery stores","5 - 10 items","1000 - 2000 rupees"
"2018/06/25 8:04:48 PM GMT+5:30","","","","","","","Evening (4pm - 7pm);Night (after 7pm)","Between 1km - 5km","Supermarkets","More than 20 items","More than 2000 rupees"
"2018/06/25 8:06:27 PM GMT+5:30","","Evening (4pm - 7pm)","","","Morning (until 11am)","","","Less than 1km","Grocery stores","5 - 10 items","1000 - 2000 rupees"
"2018/06/25 8:07:33 PM GMT+5:30","Daytime (11am - 3pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","","Between 1km - 5km","Supermarkets","Less than 5 items","500 - 1000 rupees"
"2018/06/25 8:08:25 PM GMT+5:30","","Evening (4pm - 7pm)","","Morning (until 11am)","","","","Less than 1km","Grocery stores","5 - 10 items","500 - 1000 rupees"
"2018/06/25 8:16:00 PM GMT+5:30","Morning (until 11am);Daytime (11am - 3pm);Evening (4pm - 7pm);Night (after 7pm)","","","","","","Morning (until 11am);Daytime (11am - 3pm);Evening (4pm - 7pm);Night (after 7pm)","Between 1km - 5km","Supermarkets;Grocery stores","Less than 5 items","1000 - 2000 rupees"
"2018/06/25 8:16:33 PM GMT+5:30","Night (after 7pm)","","","","","","Evening (4pm - 7pm);Night (after 7pm)","Between 1km - 5km","Supermarkets","10 - 20 items","1000 - 2000 rupees"
"2018/06/25 8:17:24 PM GMT+5:30","Evening (4pm - 7pm)","","","","","","","Less than 1km","Supermarkets;Grocery stores","5 - 10 items","Less than 500 rupees"
"2018/06/25 8:18:16 PM GMT+5:30","Daytime (11am - 3pm)","Morning (until 11am)","Morning (until 11am)","Morning (until 11am)","Morning (until 11am)","Morning (until 11am)","Daytime (11am - 3pm)","Less than 1km","Supermarkets;Grocery stores","5 - 10 items","500 - 1000 rupees"
"2018/06/25 8:20:11 PM GMT+5:30","","","","","","","Evening (4pm - 7pm)","Less than 1km","Supermarkets","10 - 20 items","More than 2000 rupees"
"2018/06/25 8:22:49 PM GMT+5:30","","","","","","","Daytime (11am - 3pm)","Between 1km - 5km","Supermarkets","10 - 20 items","More than 2000 rupees"
"2018/06/25 8:24:40 PM GMT+5:30","","","","","","","Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets;Grocery stores","More than 20 items","More than 2000 rupees"
"2018/06/25 8:28:22 PM GMT+5:30","","","","","","","Evening (4pm - 7pm)","Less than 1km","Supermarkets;Grocery stores","Less than 5 items","Less than 500 rupees"
"2018/06/25 8:31:41 PM GMT+5:30","","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","","Less than 1km","Supermarkets","Less than 5 items","500 - 1000 rupees"
"2018/06/25 8:33:27 PM GMT+5:30","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Less than 1km","Supermarkets;Grocery stores","5 - 10 items","500 - 1000 rupees"
"2018/06/25 8:41:30 PM GMT+5:30","","","","","","Night (after 7pm)","","More than 5km","Supermarkets","Less than 5 items","More than 2000 rupees"
"2018/06/25 8:49:34 PM GMT+5:30","Evening (4pm - 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Morning (until 11am)","Between 1km - 5km","Supermarkets;weekly Saturday fair","5 - 10 items","1000 - 2000 rupees"
"2018/06/25 8:50:05 PM GMT+5:30","","Night (after 7pm)","","","","Night (after 7pm)","Daytime (11am - 3pm);Night (after 7pm)","Between 1km - 5km","Supermarkets","10 - 20 items","More than 2000 rupees"
"2018/06/25 8:50:19 PM GMT+5:30","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Less than 1km","Supermarkets","5 - 10 items","500 - 1000 rupees"
"2018/06/25 8:54:19 PM GMT+5:30","","","","","","","Morning (until 11am)","Less than 1km","Supermarkets","More than 20 items","More than 2000 rupees"
"2018/06/25 9:00:28 PM GMT+5:30","Morning (until 11am);Daytime (11am - 3pm)","","","","","","Daytime (11am - 3pm);Evening (4pm - 7pm)","Less than 1km","Supermarkets","Less than 5 items","500 - 1000 rupees"
"2018/06/25 9:20:46 PM GMT+5:30","Evening (4pm - 7pm);Night (after 7pm)","","","","","","","Between 1km - 5km","Supermarkets;Grocery stores","5 - 10 items","More than 2000 rupees"
